"Monitoramento Peão Barretos 2026 - Smart Events (2460)"

"Save Time:2026-08-21 14:03:34"

"User Name:80497131"

"Total 351 records"

"Object","Period(minute)","Start Time","L.RRC.ConnReq.Succ(None)","L.RRC.ConnReq.Att(None)","L.E-RAB.SuccEst(None)","L.S1Sig.ConnEst.Att(None)","L.S1Sig.ConnEst.Succ(None)","L.E-RAB.AttEst(None)","L.E-RAB.AbnormRel(None)","L.E-RAB.AbnormRel.MME(None)","L.E-RAB.Rel.MME(None)","L.E-RAB.NormRel(None)","L.Cell.Unavail.Dur.Sys(s)","L.Cell.Unavail.Dur.Manual(s)","L.Thrp.Time.DL.RmvLastTTI(ms)","L.Thrp.bits.UL(bit)","L.Thrp.bits.DL(bit)","L.Thrp.bits.UE.UL.LastTTI(bit)","L.Thrp.bits.DL.LastTTI(bit)","L.Thrp.Time.UE.UL.RmvLastTTI(ms)","L.UL.Interference.Avg(dBm)","L.ChMeas.PRB.UL.Avail(None)","L.ChMeas.PRB.DL.Avail(None)","L.ChMeas.PRB.UL.Used.Avg(None)","L.ChMeas.PRB.DL.Used.Avg(None)","L.Traffic.User.Avg(None)"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=52, Cell Name=ZCOM12, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","21","21","35","21","21","35","0","0","1","39","0","0","262","2467472","8632632","642184","3025872","637","	-110","50","50","6.325","1.323","8.133"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=3, Cell Name=TCOM13, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","152","152","226","152","152","226","0","0","35","215","0","0","254804","117653888","263202960","8117200","101452776","27594","	-118","100","100","20.7","13.618","100.017"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=51, Cell Name=ZCOM11, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","20","20","33","20","20","35","0","0","0","26","0","0","765","258890848","11294096","4900088","5217936","20204","	-109","50","50","20.8","2.192","8.55"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=21, Cell Name=VCOM11, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","179","179","312","179","179","315","0","0","26","317","0","0","131236","989984072","1108984712","64773400","212316232","203417","	-107","100","100","92.616","85.443","155.05"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=23, Cell Name=VCOM13, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","188","188","323","188","188","323","0","0","13","347","0","0","128130","848611760","2411051312","44478224","418440280","199590","	-114","100","100","83.483","73.896","168.4"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=2, Cell Name=TCOM12, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","301","302","498","301","301","498","1","0","48","474","0","0","1174780","337703704","367284328","20479536","109521816","109074","	-116","100","100","53.703","34.228","308.183"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=202, Cell Name=UCOM182, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","100","100","187","100","100","187","0","0","7","193","0","0","8512","91161496","318216968","19144368","68098456","8739","	-114","100","100","26.416","18.301","74.35"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=182, Cell Name=UCOM162, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","24","24","38","24","24","38","0","0","0","33","0","0","12509","14649424","237073416","5113928","41181480","2434","	-106","100","100","11.257","22.065","16.133"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=192, Cell Name=UCOM172, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","17","17","32","17","17","32","0","0","0","32","0","0","1309","216535112","18128688","2793080","8448736","27154","	-108","100","100","41.743","6.318","8.55"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=162, Cell Name=VCOM182, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","125","125","234","125","125","234","1","0","11","255","0","0","3796","566796240","124580040","24218544","46689128","71927","	-109","100","100","75.307","14.418","97.767"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=172, Cell Name=UCOM152, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","17","17","32","17","17","32","0","0","0","35","0","0","894","6920936","30663592","3478872","8495312","887","	-110","100","100","9.087","3.592","12.467"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=132, Cell Name=VCOM162, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","22","22","37","22","22","37","0","0","2","39","0","0","17195","399320192","251031360","12882384","27059496","38936","	-101","100","100","57.308","23.866","16.717"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=142, Cell Name=VCOM172, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","47","47","68","47","47","70","0","0","7","79","0","0","17389","1074926840","282916088","24303472","38552488","72589","	-104","100","100","89.19","29.595","31.9"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=112, Cell Name=VCOM152, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","7","7","10","7","7","10","0","0","4","10","0","0","5314","4409880","90869048","2245112","5459536","564","	-104","100","100","9.27","9.709","6.95"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=13, Cell Name=UCOM13, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","147","147","258","147","147","258","0","0","10","263","0","0","38369","171519872","1217077968","30442968","219484784","30706","	-115","100","100","36.531","45.814","93.733"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=103, Cell Name=QCOM13, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","190","190","309","190","190","309","0","0","5","295","0","0","8406","479633840","454825760","23778856","140142832","60691","	-117","50","75","35.663","14.693","91.383"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=11, Cell Name=UCOM11, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","148","148","228","148","148","228","0","0","3","239","0","0","23252","94524024","494957960","30839568","97999392","13846","	-110","100","100","23.642","32.185","86.3"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=101, Cell Name=QCOM11, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","182","182","292","182","182","292","0","0","17","290","0","0","43585","289115592","474049320","19623512","79376168","54935","	-109","50","75","31.429","36.872","104.45"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=102, Cell Name=QCOM12, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","76","76","110","76","76","110","1","0","0","105","0","0","27334","139343608","309085408","21850584","54978856","20205","	-105","50","75","20.275","30.027","43.083"
"MRX51_SP-eNodeB Function Name=TRX51_SP, Local Cell ID=53, Cell Name=ZRX513, eNodeB ID=903128, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","12","12","21","12","12","21","0","0","6","21","0","0","1517","4664560","67123672","1803544","8104032","612","	-112","50","50","6.608","2.337","6.033"
"MCOM1_SP-eNodeB Function Name=TCOM1_SP, Local Cell ID=1, Cell Name=TCOM11, eNodeB ID=1009309, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","564","564","951","564","564","956","1","0","167","977","0","0","1177754","596711960","365556312","29196920","116371640","151944","	-115","100","100","67.888","33.614","603.867"
"MRX51_SP-eNodeB Function Name=TRX51_SP, Local Cell ID=51, Cell Name=ZRX511, eNodeB ID=903128, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","33","33","63","33","33","63","0","0","0","59","0","0","298","6995816","6163896","2122816","2677496","1371","	-114","50","50","9.354","1.578","13.683"
"MRX51_SP-eNodeB Function Name=TRX51_SP, Local Cell ID=52, Cell Name=ZRX512, eNodeB ID=903128, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","1","1","2","1","1","2","0","0","0","4","0","0","6","1459344","480088","292168","265536","110","	-110","50","50","3.037","0.755","1.517"
"MRX51_SP-eNodeB Function Name=TRX51_SP, Local Cell ID=203, Cell Name=URX5183, eNodeB ID=903128, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","15","15","25","15","15","25","0","0","2","36","0","0","6015","10865808","198479984","5789304","51279248","882","	-115","100","100","8.216","13.768","10.75"
"MRX51_SP-eNodeB Function Name=TRX51_SP, Local Cell ID=201, Cell Name=URX5181, eNodeB ID=903128, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","79","79","120","79","79","120","0","0","7","133","0","0","4329","456480512","195575528","49141048","55048552","14525","	-110","100","100","28.846","10.207","37.933"
"MRX51_SP-eNodeB Function Name=TRX51_SP, Local Cell ID=202, Cell Name=URX5182, eNodeB ID=903128, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","9","9","13","9","9","13","0","0","0","14","0","0","0","5871256","287320","2568064","287320","583","	-115","100","100","5.763","0.885","3.567"
"MRX51_SP-eNodeB Function Name=TRX51_SP, Local Cell ID=193, Cell Name=URX5173, eNodeB ID=903128, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","63","63","88","63","63","88","0","0","0","89","0","0","234","8471008","14443424","3385584","6807160","564","	-115","100","100","8.692","1.728","18.233"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=112, Cell Name=VRX6152, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","5","5","10","5","5","10","0","0","2","12","","","","","8267720","","","","","","","","","7.4"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=111, Cell Name=VRX6151, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","0","","","","","","","","","0"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=131, Cell Name=VRX6161, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","0","","","","","","","","","0"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=113, Cell Name=VRX6153, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","1","1","2","1","1","2","0","0","0","4","","","","","3664","","","","","","","","","0.7"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=133, Cell Name=VRX6163, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","86072","","","","","","","","","0.917"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=132, Cell Name=VRX6162, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","498432","","","","","","","","","0.517"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=142, Cell Name=VRX6172, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","3","3","6","3","3","6","0","0","0","6","","","","","431336","","","","","","","","","1.9"
"MRX61_SP-eNodeB Function Name=TRX61_SP, Local Cell ID=141, Cell Name=VRX6171, eNodeB ID=902166, Cell FDD TDD indication=CELL_FDD","1","2026-08-21 14:02:00","0","0","0","0","0","0","0","0","0","0","","","","","0","","","","","","","","","0"
