"Monitoramento Peão Barretos 2026 - Smart Events NR DUCELL (2462)"

"Save Time:2026-08-21 14:44:55"

"User Name:80497131"

"Total 105 records"

"Object","Period(minute)","Start Time","N.ThpVol.DL(kbit)","N.ThpVol.UL(kbit)","N.ThpVol.DL.LastSlot(kbit)","N.NSA.ThpVol.DL(kbit)","N.ThpTime.DL.RmvLastSlot(microsecond)","N.NSA.ThpVol.UL(kbit)","N.ThpVol.UE.UL.SmallPkt(kbit)","N.ThpTime.UE.UL.RmvSmallPkt(microsecond)","N.PRB.UL.Avail.Avg(None)","N.PRB.DL.Used.Avg(None)","N.PRB.DL.Avail.Avg(None)","N.PRB.UL.Used.Avg(None)","N.UL.NI.Avg(dBm)"
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR DU Cell ID=592, NR DU Cell Name=5SRX812, gNodeB ID=5903125, Cell ID=592","1","2026-08-21 14:42:00","495720.456","176658.28","225262.952","472025.504","1789000","167741.016","29338.84","9609500","273","16.992","273","48.956","	-109"
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR DU Cell ID=591, NR DU Cell Name=5SRX811, gNodeB ID=5903125, Cell ID=591","1","2026-08-21 14:42:00","669053.792","92608.664","349885.864","456903.112","1645500","82191.904","58397.56","1658000","273","20.084","273","25.883","	-108"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR DU Cell ID=593, NR DU Cell Name=5SCOM13, gNodeB ID=5901193, Cell ID=593","1","2026-08-21 14:42:00","1436602.48","1116501.608","746778.848","1119704.712","9142000","1074414.072","124278.176","49585500","273","45.131","273","144.251","	-100"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR DU Cell ID=592, NR DU Cell Name=5SCOM12, gNodeB ID=5901193, Cell ID=592","1","2026-08-21 14:42:00","2436762.84","501531.744","1161405.672","1925881.264","20744000","389846.912","141329.472","63730500","273","81.467","273","127.129","	-99"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR DU Cell ID=593, NR DU Cell Name=5SRX913, gNodeB ID=5903127, Cell ID=593","1","2026-08-21 14:42:00","1289369.264","226938.576","642527.592","1249947.216","1348500","220230.368","59516.392","2332500","273","19.858","273","26.125","	-106"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR DU Cell ID=592, NR DU Cell Name=5SRX912, gNodeB ID=5903127, Cell ID=592","1","2026-08-21 14:41:00","1836527.92","1193244","868683.432","1280305.072","6051000","1145646.872","203012.984","20375500","273","51.023","273","111.678","	-111"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR DU Cell ID=591, NR DU Cell Name=5SRX911, gNodeB ID=5903127, Cell ID=591","1","2026-08-21 14:41:00","83862.192","6056.952","77446.704","83647.672","38000","5801.504","4869.832","59000","273","7.843","273","11.95","	-106"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR DU Cell ID=591, NR DU Cell Name=5SCOM11, gNodeB ID=5901193, Cell ID=591","1","2026-08-21 14:41:00","4699362.4","2445692.376","2873972.832","4016817.264","36969000","2335958.152","223699.184","197027000","273","117.785","273","258.309","	-96"
"MVKM1_SP-gNodeB Function Name=SVKM1_SP, NR DU Cell ID=593, NR DU Cell Name=5SVKM13, gNodeB ID=5902233, Cell ID=593","1","2026-08-21 14:41:00","5927256.808","1986762.488","2968015.064","4160259.904","40549500","1812216.816","316151.936","339759500","273","156.351","273","249.523","	-93"
"MVKM1_SP-gNodeB Function Name=SVKM1_SP, NR DU Cell ID=592, NR DU Cell Name=5SVKM12, gNodeB ID=5902233, Cell ID=592","1","2026-08-21 14:41:00","10420420.424","2221460.208","5191296.096","8358129.504","119292000","1958402.416","589763.968","1855443500","273","205.726","273","254.803","	-94"
"MRX71_SP-gNodeB Function Name=SRX71_SP, NR DU Cell ID=593, NR DU Cell Name=5SRX713, gNodeB ID=5903121, Cell ID=593","1","2026-08-21 14:41:00","48297.28","3379.728","40531.144","3478.208","59500","507.84","3379.728","0","273","6.287","273","11.414","	-109"
"MVKM1_SP-gNodeB Function Name=SVKM1_SP, NR DU Cell ID=591, NR DU Cell Name=5SVKM11, gNodeB ID=5902233, Cell ID=591","1","2026-08-21 14:41:00","561328","350986.4","399831.472","446279.176","1163500","346612.224","50474.44","4435500","273","13.454","273","34.451","	-101"
"MRX71_SP-gNodeB Function Name=SRX71_SP, NR DU Cell ID=592, NR DU Cell Name=5SRX712, gNodeB ID=5903121, Cell ID=592","1","2026-08-21 14:41:00","83243.76","3233.304","36393.096","83057.408","88000","3037.488","2915.64","5000","273","5.931","273","11.659","	-109"
"MRX71_SP-gNodeB Function Name=SRX71_SP, NR DU Cell ID=591, NR DU Cell Name=5SRX711, gNodeB ID=5903121, Cell ID=591","1","2026-08-21 14:41:00","315207.712","8658.656","226162.12","312146.432","183000","8348.816","5420.28","96000","273","8.176","273","12.514","	-110"
"MRX61_SP-gNodeB Function Name=SRX61_SP, NR DU Cell ID=593, NR DU Cell Name=5SRX613, gNodeB ID=5902166, Cell ID=593","1","2026-08-21 14:41:00","23015.944","1247.016","6332.504","22995.464","87000","1245.072","1246.976","500","273","5.54","273","11.201","	-106"
"MRX61_SP-gNodeB Function Name=SRX61_SP, NR DU Cell ID=592, NR DU Cell Name=5SRX612, gNodeB ID=5902166, Cell ID=592","1","2026-08-21 14:41:00","538391.464","119059.944","169917.992","524615.144","2836500","106792.248","42091.784","2493000","273","23.852","273","23.249","	-107"
"MRX51_SP-gNodeB Function Name=SRX51_SP, NR DU Cell ID=593, NR DU Cell Name=5SRX513, gNodeB ID=5903128, Cell ID=593","1","2026-08-21 14:41:00","1953201.936","766827.944","1276586.68","1346229.832","3540500","707225.56","334616.016","5206000","273","43.908","273","65.691","	-102"
"MRX61_SP-gNodeB Function Name=SRX61_SP, NR DU Cell ID=591, NR DU Cell Name=5SRX611, gNodeB ID=5902166, Cell ID=591","1","2026-08-21 14:41:00","978572.488","376409.736","394712.88","827199.408","10037500","311063.704","89026.84","20002000","273","58.591","273","79.056","	-102"
"MRX51_SP-gNodeB Function Name=SRX51_SP, NR DU Cell ID=592, NR DU Cell Name=5SRX512, gNodeB ID=5903128, Cell ID=592","1","2026-08-21 14:41:00","1467279.256","220529.592","842623.656","651397.824","2409000","144426.4","102701.488","4138000","273","26.45","273","36.945","	-94"
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR DU Cell ID=593, NR DU Cell Name=5SRX813, gNodeB ID=5903125, Cell ID=593","1","2026-08-21 14:41:00","115847.776","16792.408","91456.16","107098.68","185000","9605.768","11195.16","326000","273","9.197","273","14.737","	-107"
"MRX51_SP-gNodeB Function Name=SRX51_SP, NR DU Cell ID=591, NR DU Cell Name=5SRX511, gNodeB ID=5903128, Cell ID=591","1","2026-08-21 14:41:00","2978062.232","8961206.792","1832775.808","2731940.232","6031000","8845460.44","378042.864","148814000","273","60.113","273","266.861","	-98"
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR DU Cell ID=592, NR DU Cell Name=5SRX812, gNodeB ID=5903125, Cell ID=592","1","2026-08-21 14:41:00","583098.88","312436.536","348539.104","533369.92","1049000","302142.4","67122.056","8659500","273","18.529","273","54.546","	-109"
"MRX81_SP-gNodeB Function Name=SRX81_SP, NR DU Cell ID=591, NR DU Cell Name=5SRX811, gNodeB ID=5903125, Cell ID=591","1","2026-08-21 14:41:00","1464477.872","80015.904","574026.48","910141.32","4001500","69656.016","40867.248","1847000","273","33.631","273","21.317","	-108"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR DU Cell ID=593, NR DU Cell Name=5SCOM13, gNodeB ID=5901193, Cell ID=593","1","2026-08-21 14:41:00","2234233.976","850879.744","998868.472","1815598.352","12985000","806157.816","151788.576","50601500","273","60.991","273","116.637","	-99"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR DU Cell ID=592, NR DU Cell Name=5SCOM12, gNodeB ID=5901193, Cell ID=592","1","2026-08-21 14:41:00","2868013.824","789389.352","1580449.032","2004050.008","11305500","501765.592","163166.288","47125000","273","75.806","273","118.408","	-99"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR DU Cell ID=593, NR DU Cell Name=5SRX913, gNodeB ID=5903127, Cell ID=593","1","2026-08-21 14:41:00","701366.824","355326.12","380801.784","574357.232","767500","349901.248","73778.752","4667000","273","14.404","273","37.593","	-107"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR DU Cell ID=592, NR DU Cell Name=5SRX912, gNodeB ID=5903127, Cell ID=592","1","2026-08-21 14:40:00","1920153.128","1741733.824","1396487.264","1504137.432","3000000","1695625.28","331517.424","31933000","273","46.34","273","144.726","	-109"
"MRX91_SP-gNodeB Function Name=SRX91_SP, NR DU Cell ID=591, NR DU Cell Name=5SRX911, gNodeB ID=5903127, Cell ID=591","1","2026-08-21 14:40:00","76447.784","2822.176","54795.296","75803.008","84000","2325.744","2228.072","40000","273","7.487","273","11.578","	-107"
"MCOM1_SP-gNodeB Function Name=SCOM1_SP, NR DU Cell ID=591, NR DU Cell Name=5SCOM11, gNodeB ID=5901193, Cell ID=591","1","2026-08-21 14:40:00","3741647.296","2052863.624","1946508.568","3310365.6","22174000","1993637.176","204727.432","156232000","273","95.841","273","255.27","	-97"
